id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,4514,TON,2019
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1409,TON,2019
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1650,TON,2019
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,328,TON,2019
167,32,JAWA BARAT,3205,KABUPATEN GARUT,419,TON,2019
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,912,TON,2019
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1183,TON,2019
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,661,TON,2019
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,58,TON,2019
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,342,TON,2019
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,87,TON,2019
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,43,TON,2019
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,TON,2019
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,195,TON,2019
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,67,TON,2019
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,98,TON,2019
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,169,TON,2019
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,312,TON,2019
181,32,JAWA BARAT,3271,KOTA BOGOR,4,TON,2019
182,32,JAWA BARAT,3272,KOTA SUKABUMI,314,TON,2019
183,32,JAWA BARAT,3273,KOTA BANDUNG,2,TON,2019
184,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2019
185,32,JAWA BARAT,3275,KOTA BEKASI,90,TON,2019
186,32,JAWA BARAT,3276,KOTA DEPOK,112,TON,2019
187,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2019
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,117,TON,2019
189,32,JAWA BARAT,3279,KOTA BANJAR,44,TON,2019
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,8280,TON,2020
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1610,TON,2020
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3282,TON,2020
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,357,TON,2020
194,32,JAWA BARAT,3205,KABUPATEN GARUT,4366,TON,2020
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1651,TON,2020
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2107,TON,2020
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1396,TON,2020
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,63,TON,2020
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,349,TON,2020
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,505,TON,2020
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,48,TON,2020
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,36,TON,2020
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,801,TON,2020
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,72,TON,2020
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,100,TON,2020
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,170,TON,2020
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,298,TON,2020
208,32,JAWA BARAT,3271,KOTA BOGOR,4,TON,2020
209,32,JAWA BARAT,3272,KOTA SUKABUMI,318,TON,2020
210,32,JAWA BARAT,3273,KOTA BANDUNG,2,TON,2020
211,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2020
212,32,JAWA BARAT,3275,KOTA BEKASI,87,TON,2020
213,32,JAWA BARAT,3276,KOTA DEPOK,112,TON,2020
214,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2020
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,69,TON,2020
216,32,JAWA BARAT,3279,KOTA BANJAR,34,TON,2020
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,17855,TON,2021
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,5053,TON,2021
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6814,TON,2021
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,809,TON,2021
221,32,JAWA BARAT,3205,KABUPATEN GARUT,745,TON,2021
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3523,TON,2021
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,4509,TON,2021
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2975,TON,2021
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,173,TON,2021
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,764,TON,2021
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1170,TON,2021
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,104,TON,2021
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,203,TON,2021
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2052,TON,2021
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,143,TON,2021
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,369,TON,2021
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,360,TON,2021
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,622,TON,2021
235,32,JAWA BARAT,3271,KOTA BOGOR,9,TON,2021
236,32,JAWA BARAT,3272,KOTA SUKABUMI,699,TON,2021
237,32,JAWA BARAT,3273,KOTA BANDUNG,4,TON,2021
238,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2021
239,32,JAWA BARAT,3275,KOTA BEKASI,191,TON,2021
240,32,JAWA BARAT,3276,KOTA DEPOK,79,TON,2021
241,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2021
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,270,TON,2021
243,32,JAWA BARAT,3279,KOTA BANJAR,73,TON,2021
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,8568,TON,2022
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1844,TON,2022
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3164,TON,2022
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,414,TON,2022
248,32,JAWA BARAT,3205,KABUPATEN GARUT,271,TON,2022
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1739,TON,2022
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2147,TON,2022
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1777,TON,2022
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,69,TON,2022
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,366,TON,2022
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,488,TON,2022
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,49,TON,2022
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,56,TON,2022
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1146,TON,2022
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,67,TON,2022
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,193,TON,2022
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,169,TON,2022
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,214,TON,2022
262,32,JAWA BARAT,3271,KOTA BOGOR,4,TON,2022
263,32,JAWA BARAT,3272,KOTA SUKABUMI,326,TON,2022
264,32,JAWA BARAT,3273,KOTA BANDUNG,2,TON,2022
265,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2022
266,32,JAWA BARAT,3275,KOTA BEKASI,90,TON,2022
267,32,JAWA BARAT,3276,KOTA DEPOK,37,TON,2022
268,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2022
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,132,TON,2022
270,32,JAWA BARAT,3279,KOTA BANJAR,34,TON,2022
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,15973,TON,2023
272,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8705,TON,2023
273,32,JAWA BARAT,3203,KABUPATEN CIANJUR,5898,TON,2023
274,32,JAWA BARAT,3204,KABUPATEN BANDUNG,772,TON,2023
275,32,JAWA BARAT,3205,KABUPATEN GARUT,506,TON,2023
