Alcohol,Malic_Acid,Ash,Alcalinity_of_Ash,Magnesium,Total_Phenols,Flavanoids,Nonflavanoid_Phenols,Proanthocyanins,Color_Intensity,Hue,OD280/OD315_of_Diluted_Wines,Proline,Class
14.23,1.71,2.43,15.6,127,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065,1
13.2,1.78,2.14,11.2,100,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050,1
13.16,2.36,2.67,18.6,101,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185,1
14.37,1.95,2.5,16.8,113,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480,1
13.24,2.59,2.87,21.0,118,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735,1
14.2,1.76,2.45,15.2,112,3.27,3.39,0.34,1.97,6.75,1.27,3.28,1450,1
14.39,1.87,2.45,14.6,96,3.43,3.64,0.34,1.97,5.25,1.04,3.56,1290,1
14.06,2.15,2.61,17.6,121,2.85,2.86,0.21,2.15,5.05,1.06,3.58,1295,1
14.83,1.64,2.17,14.0,97,2.8,2.98,0.22,1.95,5.2,1.08,3.65,1045,1
13.86,1.35,2.27,16.0,98,2.98,2.29,0.32,1.66,4.35,1.1,3.39,1260,1
14.1,2.16,2.3,18.0,105,2.95,3.32,0.22,2.38,6.0,1.07,3.92,630,1
14.12,1.48,2.32,16.8,95,2.2,3.88,0.27,1.88,4.25,1.04,3.68,720,1
13.75,1.73,2.41,16.0,89,2.6,2.76,0.29,1.81,5.6,1.08,3.68,890,1
14.75,1.73,2.4,11.4,91,3.1,2.81,0.3,2.0,5.4,1.08,3.4,1450,1
14.38,1.87,2.38,12.0,102,3.3,3.74,0.24,1.98,7.5,1.25,3.54,1095,1
13.63,1.81,2.7,17.2,112,2.85,2.91,0.3,1.46,5.4,1.36,3.7,1270,1
14.3,1.92,2.72,20.0,120,2.8,2.98,0.26,1.92,5.7,1.2,3.4,1280,1
13.83,1.57,2.62,19.0,115,2.95,3.4,0.3,1.66,5.2,1.08,3.93,1090,1
14.19,1.59,3.61,24.0,108,2.8,2.94,0.3,1.82,5.1,1.06,3.0,1080,1
13.64,3.1,2.56,18.1,102,3.3,2.74,0.17,2.0,4.92,1.05,3.26,870,1
14.06,1.63,2.28,16.0,94,2.65,2.65,0.3,2.0,4.5,1.04,3.2,1035,1
12.93,3.8,2.65,18.6,92,2.41,2.41,0.29,1.77,3.9,1.0,2.8,660,1
13.71,1.86,2.36,16.6,99,2.65,2.74,0.24,1.77,4.5,1.04,2.87,720,1
12.85,1.6,2.52,18.6,105,2.35,2.6,0.31,1.46,4.4,1.04,3.0,515,1
13.5,1.81,2.61,20.0,103,2.41,2.61,0.28,1.56,4.9,1.07,2.88,520,1
13.05,1.77,2.1,22.5,94,2.55,2.31,0.33,1.67,5.2,1.12,2.81,680,1
14.21,4.04,2.44,18.9,111,3.24,2.68,0.27,2.0,5.1,1.03,3.27,870,1
14.38,3.59,2.84,23.3,90,3.0,2.96,0.29,1.86,5.15,1.05,3.45,1045,1
13.9,1.68,2.12,19.4,107,2.65,2.68,0.28,1.86,4.3,1.02,2.75,1045,1
14.1,2.02,2.4,18.9,106,2.75,2.92,0.29,1.83,4.7,1.04,3.2,1510,1
